mission_time_s,altitude_m,surface_speed_ms,orbital_speed_ms,vertical_speed_ms,horizontal_speed_ms,pitch_deg,dynamic_pressure_pa,total_mass_kg,thrust_kn,twr,isp_s,current_stage_deltav_ms,total_remaining_deltav_ms,apoapsis_m,periapsis_m
0.02,77.46,0.0,0.0,0.0,0.0,89.96,0.0,58775000.0,0.0,0.0,0.0,3033.54,3033.54,77.46,-598435.25
0.54,77.46,0.0,0.0,0.0,0.0,89.96,0.0,58775000.0,0.0,0.0,0.0,3033.54,3033.54,77.46,-598435.26
0.76,77.46,0.0,0.0,0.0,0.0,89.95,0.0,58775000.0,0.0,0.0,0.0,3033.54,3033.54,77.46,-598435.23
0.98,77.46,0.0,0.0,0.0,0.0,89.96,0.0,58775000.0,0.0,0.0,0.0,3033.54,3033.54,77.46,-598435.27
1.2,77.46,0.0,0.0,0.0,0.0,89.95,0.0,58775000.0,0.0,0.0,0.0,3033.54,3033.54,77.46,-598435.23
1.42,77.46,0.0,0.0,0.0,0.0,89.95,0.0,58775000.0,0.0,0.0,0.0,3033.54,3033.54,77.46,-598435.29
1.64,77.46,0.0,0.0,0.0,0.0,89.96,0.0,58775000.0,0.0,0.0,0.0,3033.54,3033.54,77.46,-598435.22
1.86,77.46,0.0,0.0,0.0,0.0,89.96,0.0,58775000.0,0.0,0.0,0.0,3033.54,3033.54,77.46,-598435.23
2.08,77.46,0.0,0.0,0.0,0.0,89.96,0.0,58775000.0,0.0,0.0,0.0,3033.54,3033.54,77.46,-598435.29
2.3,77.46,0.0,0.0,0.0,0.0,89.96,0.0,58775000.0,0.0,0.0,0.0,3033.54,3033.54,77.46,-598435.2
2.52,77.46,0.0,0.0,0.0,0.0,89.95,0.0,58775000.0,0.0,0.0,0.0,3033.54,3033.54,77.46,-598435.32
2.74,77.46,0.0,0.0,0.0,0.0,89.97,0.0,58775000.0,0.0,0.0,0.0,3033.54,3033.54,77.46,-598435.2
2.94,77.46,0.0,0.0,0.0,0.0,89.95,0.0,58700000.0,0.0,0.0,0.0,3033.54,3033.54,77.46,-598435.25
