mission_time_s,altitude_m,surface_speed_ms,orbital_speed_ms,vertical_speed_ms,horizontal_speed_ms,pitch_deg,dynamic_pressure_pa,total_mass_kg,thrust_kn,twr,isp_s,current_stage_deltav_ms,total_remaining_deltav_ms,apoapsis_m,periapsis_m
0.0,30277.26,0.0,0.0,0.0,0.0,49.81,12589.42,17420857.42,1499.54,0.01,262.92,199.17,199.17,408408.05,-460035.89
0.0,30277.26,0.0,0.0,0.0,0.0,49.81,12589.42,17420857.42,1499.54,0.01,262.92,199.17,199.17,408408.05,-460035.89
0.0,30277.26,0.0,0.0,0.0,0.0,49.81,12589.42,17420857.42,1499.54,0.01,262.92,199.17,199.17,408408.05,-460035.89
0.0,30277.26,0.0,0.0,0.0,0.0,49.81,12589.42,17420857.42,1499.54,0.01,262.92,199.17,199.17,408408.05,-460035.89
0.0,30277.26,0.0,0.0,0.0,0.0,49.81,12589.42,17420857.42,1499.54,0.01,262.92,199.17,199.17,408408.05,-460035.89
0.0,30277.26,0.0,0.0,0.0,0.0,49.81,12589.42,17420857.42,1499.54,0.01,262.92,199.17,199.17,408408.05,-460035.89
0.0,30277.26,0.0,0.0,0.0,0.0,49.81,12589.42,17420857.42,1499.54,0.01,262.92,199.17,199.17,408408.05,-460035.89
0.0,30277.26,0.0,0.0,0.0,0.0,49.81,12589.42,17420857.42,1499.54,0.01,262.92,199.17,199.17,408408.05,-460035.89
0.0,30277.26,0.0,0.0,0.0,0.0,49.81,12589.42,17420857.42,1499.54,0.01,262.92,199.17,199.17,408408.05,-460035.89
0.0,30277.26,0.0,0.0,0.0,0.0,49.81,12589.42,17420857.42,1499.54,0.01,262.92,199.17,199.17,408408.05,-460035.89
0.0,30277.26,0.0,0.0,0.0,0.0,49.81,12589.42,17420857.42,1499.54,0.01,262.92,199.17,199.17,408408.05,-460035.89
0.0,30277.26,0.0,0.0,0.0,0.0,49.81,12589.42,17420857.42,1499.54,0.01,262.92,199.17,199.17,408408.05,-460035.89
0.0,30277.26,0.0,0.0,0.0,0.0,49.81,12589.42,17420857.42,1499.54,0.01,262.92,199.17,199.17,408408.05,-460035.89
0.0,30277.26,0.0,0.0,0.0,0.0,49.81,12589.42,17420857.42,1499.54,0.01,262.92,199.17,199.17,408408.05,-460035.89
0.0,30277.26,0.0,0.0,0.0,0.0,49.81,12589.42,17420857.42,1499.54,0.01,262.92,199.17,199.17,408408.05,-460035.89
0.0,30277.26,0.0,0.0,0.0,0.0,49.81,12589.42,17420857.42,1499.54,0.01,262.92,199.17,199.17,408408.05,-460035.89
0.0,30277.26,0.0,0.0,0.0,0.0,49.81,12589.42,17420857.42,1499.54,0.01,262.92,199.17,199.17,408408.05,-460035.89
0.0,30277.26,0.0,0.0,0.0,0.0,49.81,12589.42,17420857.42,1499.54,0.01,262.92,199.17,199.17,408408.05,-460035.89
0.0,30277.26,0.0,0.0,0.0,0.0,49.81,12589.42,17420857.42,1499.54,0.01,262.92,199.17,199.17,408408.05,-460035.89
0.0,30277.26,0.0,0.0,0.0,0.0,49.81,12589.42,17420857.42,1499.54,0.01,262.92,199.17,199.17,408408.05,-460035.89
0.0,30277.26,0.0,0.0,0.0,0.0,49.81,12589.42,17420857.42,1499.54,0.01,262.92,199.17,199.17,408408.05,-460035.89
0.0,30277.26,0.0,0.0,0.0,0.0,49.81,12589.42,17420857.42,1499.54,0.01,262.92,199.17,199.17,408408.05,-460035.89
0.0,30277.26,0.0,0.0,0.0,0.0,49.81,12589.42,17420857.42,1499.54,0.01,262.92,199.17,199.17,408408.05,-460035.89
0.0,30277.26,0.0,0.0,0.0,0.0,49.81,12589.42,17420857.42,1499.54,0.01,262.92,199.17,199.17,408408.05,-460035.89
0.0,30277.26,0.0,0.0,0.0,0.0,49.81,12589.42,17420857.42,1499.54,0.01,262.92,199.17,199.17,408408.05,-460035.89
0.0,30277.26,0.0,0.0,0.0,0.0,49.81,12589.42,17420857.42,1499.54,0.01,262.92,199.17,199.17,408408.05,-460035.89
0.0,30277.26,0.0,0.0,0.0,0.0,49.81,12589.42,17420857.42,1499.54,0.01,262.92,199.17,199.17,408408.05,-460035.89
0.0,30277.26,0.0,0.0,0.0,0.0,49.81,12589.42,17420857.42,1499.54,0.01,262.92,199.17,199.17,408408.05,-460035.89
0.0,30277.26,0.0,0.0,0.0,0.0,49.81,12589.42,17420857.42,1499.54,0.01,262.92,199.17,199.17,408408.05,-460035.89
0.0,30277.26,0.0,0.0,0.0,0.0,49.81,12589.42,17420857.42,1499.54,0.01,262.92,199.17,199.17,408408.05,-460035.89
0.0,30277.26,0.0,0.0,0.0,0.0,49.81,12589.42,17420857.42,1499.54,0.01,262.92,199.17,199.17,408408.05,-460035.89
0.0,30277.26,0.0,0.0,0.0,0.0,49.81,12589.42,17420857.42,1499.54,0.01,262.92,199.17,199.17,408408.05,-460035.89
0.0,30277.26,0.0,0.0,0.0,0.0,49.81,12589.42,17420857.42,1499.54,0.01,262.92,199.17,199.17,408408.05,-460035.89
0.0,30277.26,0.0,0.0,0.0,0.0,49.81,12589.42,17420857.42,1499.54,0.01,262.92,199.17,199.17,408408.05,-460035.89
0.0,30277.26,0.0,0.0,0.0,0.0,49.81,12589.42,17420857.42,1499.54,0.01,262.92,199.17,199.17,408408.05,-460035.89
0.0,30277.26,0.0,0.0,0.0,0.0,49.81,12589.42,17420857.42,1499.54,0.01,262.92,199.17,199.17,408408.05,-460035.89
0.0,30277.26,0.0,0.0,0.0,0.0,49.81,12589.42,17420857.42,1499.54,0.01,262.92,199.17,199.17,408408.05,-460035.89
